word1	word2	cnt1	cnt2	cnt12
love	sex	16800000	16100000	5870000
tiger	cat	12500000	17600000	191000
tiger	tiger	12500000	12500000	301000
book	paper	17500000	15500000	217000
computer	keyboard	13600000	12300000	904000
computer	internet	13600000	15300000	1150000
plane	car	12600000	17300000	104000
train	car	12900000	17300000	699000
telephone	communication	12700000	12600000	197000
television	radio	12500000	15800000	809000
media	radio	18200000	15800000	601000
drug	abuse	12500000	12200000	5250000
bread	butter	12200000	12000000	205000
cucumber	potato	7720000	12000000	19400
doctor	nurse	13000000	12300000	259000
professor	doctor	12500000	12800000	54300
student	professor	15100000	12500000	79300
smart	student	14800000	15100000	115000
smart	stupid	14800000	12000000	13100
company	stock	18100000	14900000	4370000
stock	market	14900000	6970000	11800000
stock	phone	14900000	15200000	54600
stock	CD	14900000	17100000	85700
stock	jaguar	14900000	11900000	22800
stock	egg	14900000	12300000	10500
fertility	egg	8660000	12300000	23700
stock	live	14900000	17800000	146000
stock	life	14900000	17000000	107000
book	library	17500000	15300000	2070000
bank	money	14400000	13100000	782000
wood	forest	14000000	12700000	1730000
money	cash	13200000	14100000	220000
professor	cucumber	12500000	7720000	91
king	cabbage	14500000	9510000	5190
king	queen	14500000	13000000	587000
king	rook	14500000	5750000	12100
bishop	rabbi	12000000	5450000	2570
Jerusalem	Israel	11500000	12600000	443000
Jerusalem	Palestinian	11500000	4580000	28000
holy	sex	12400000	16000000	30700
fuck	sex	0	16100000	0
Maradona	football	1800000	13000000	5680
football	soccer	13100000	12600000	2500000
football	basketball	13100000	12600000	1120000
football	tennis	13100000	12700000	266000
tennis	racket	12700000	4750000	441000
Arafat	peace	460000	12400000	2170
Arafat	terror	460000	12000000	590
Arafat	Jackson	681000	12700000	79
law	lawyer	13400000	12100000	262000
movie	star	16600000	16200000	7790000
movie	popcorn	16600000	11800000	132000
movie	critic	16600000	10600000	213000
movie	theater	16600000	12900000	11700000
physics	proton	12400000	6600000	12300
physics	chemistry	12400000	12300000	679000
space	chemistry	15900000	12300000	173000
alcohol	chemistry	12200000	12200000	24800
vodka	gin	9850000	11800000	157000
vodka	brandy	9850000	11600000	66700
drink	car	12400000	17300000	44100
drink	ear	12400000	12100000	23200
drink	mouth	12400000	12200000	0
drink	eat	12400000	12600000	204000
baby	mother	14600000	12700000	259000
drink	mother	12400000	12700000	26800
car	automobile	17300000	12200000	183000
gem	jewel	12200000	10900000	24300
journey	voyage	12400000	12300000	13300
boy	lad	14300000	11500000	13300
coast	shore	12700000	12200000	46700
asylum	madhouse	9920000	434000	3180
magician	wizard	8750000	12200000	15000
midday	noon	3810000	11500000	10800
furnace	stove	10400000	11600000	34800
food	fruit	15500000	12400000	259000
bird	cock	13100000	13800000	7960
bird	crane	13100000	11900000	22200
tool	implement	13400000	11300000	13800
brother	monk	12500000	10700000	9080
crane	implement	12000000	11300000	1820
lad	brother	11500000	12500000	1680
journey	car	12400000	17300000	47400
monk	oracle	10700000	12500000	2060
cemetery	woodland	11900000	11800000	13000
food	rooster	15500000	11600000	4900
coast	hill	12700000	14700000	18900
forest	graveyard	12700000	7480000	5160
shore	woodland	12200000	11800000	5730
monk	slave	10700000	12100000	2020
coast	forest	12600000	12700000	50600
lad	wizard	11500000	12200000	570
chord	smile	11500000	12400000	2280
glass	magician	13100000	8750000	16300
noon	string	11600000	12400000	1490
rooster	voyage	11600000	12300000	1430
money	dollar	13200000	12400000	99700
money	cash	13200000	14100000	220000
money	currency	13200000	12200000	277000
money	wealth	13200000	12000000	149000
money	property	12500000	13600000	197000
money	possession	13100000	9860000	5360
money	bank	13200000	14400000	422000
money	deposit	13200000	12000000	278000
money	withdrawal	13200000	11600000	55800
money	laundering	13200000	3260000	2330000
money	operation	13200000	12400000	15300
tiger	jaguar	12500000	11900000	24000
tiger	feline	12500000	9580000	12100
tiger	carnivore	12500000	2070000	2610
tiger	mammal	12500000	5520000	3230
tiger	animal	12500000	13200000	98600
tiger	organism	12500000	6550000	13500
tiger	fauna	12500000	9500000	1730
tiger	zoo	12500000	12500000	78500
psychology	psychiatry	12200000	10100000	257000
psychology	anxiety	12200000	11800000	38300
psychology	fear	12200000	12200000	25200
psychology	depression	12200000	12000000	49900
psychology	clinic	12200000	13000000	162000
psychology	doctor	12200000	12600000	66700
psychology	Freud	12200000	8820000	30700
psychology	mind	12200000	13300000	72500
psychology	health	12200000	14500000	236000
psychology	science	12200000	13500000	326000
psychology	discipline	12200000	11900000	52400
psychology	cognition	12200000	3630000	72500
planet	star	14800000	16300000	138000
planet	constellation	14800000	7940000	3550
planet	moon	14800000	13400000	104000
planet	sun	14800000	14800000	154000
planet	galaxy	14800000	14700000	28900
planet	space	14800000	15400000	169000
planet	astronomer	14800000	1300000	2090
precedent	example	6140000	13000000	4790
precedent	information	6140000	15500000	5800
precedent	cognition	6140000	3630000	66
precedent	law	6140000	13400000	26100
precedent	collection	6140000	14800000	10900
precedent	group	6140000	17700000	3350
precedent	antecedent	6140000	788000	2540
cup	coffee	13200000	14400000	477000
cup	tableware	13200000	3720000	18100
cup	article	13200000	17700000	46000
cup	artifact	13100000	5630000	1480
cup	object	13200000	12500000	7650
cup	entity	13200000	11400000	2640
cup	drink	13200000	12400000	81300
cup	food	13200000	15500000	164000
cup	substance	13200000	11700000	3090
cup	liquid	13200000	12100000	113000
jaguar	cat	11900000	17500000	25800
jaguar	car	11900000	17300000	337000
energy	secretary	13200000	12100000	187000
secretary	senate	12100000	11800000	84300
energy	laboratory	13200000	12200000	196000
computer	laboratory	13600000	12200000	147000
weapon	secret	11800000	13300000	25200
FBI	fingerprint	11700000	8770000	103000
FBI	investigation	11700000	12000000	271000
investigation	effort	12000000	11800000	4380
Mars	water	12800000	14500000	104000
Mars	scientist	12800000	11900000	4140
news	report	19900000	15800000	9450000
canyon	landscape	12100000	12200000	19000
image	surface	21000000	12400000	57300
discovery	space	12400000	15500000	101000
water	seepage	14300000	235000	141000
sign	recess	14400000	6920000	4250
Wednesday	news	12200000	19900000	157000
mile	kilometer	12300000	5980000	76100
computer	news	13600000	19900000	199000
territory	surface	11900000	12400000	1990
atmosphere	landscape	11800000	12200000	8510
president	medal	12800000	11900000	12300
war	troops	15500000	10400000	92100
record	number	13000000	14000000	816000
skin	eye	12600000	13100000	211000
Japanese	American	13400000	13900000	406000
theater	history	12900000	15100000	280000
volunteer	motto	12300000	15200000	3900
prejudice	recognition	7740000	12000000	872
decoration	valor	12100000	12200000	2270
century	year	12500000	13900000	69400
century	nation	12500000	12600000	146000
delay	racism	11900000	10500000	64
delay	news	11900000	19900000	29000
minister	party	12100000	15400000	13100
peace	plan	12400000	16200000	175000
minority	peace	11400000	12400000	1510
attempt	peace	11200000	12400000	2530
government	crisis	12800000	12200000	44500
deployment	departure	9900000	11600000	1800
deployment	withdrawal	9900000	11600000	2590
energy	crisis	13300000	12200000	216000
announcement	news	12200000	19900000	134000
announcement	effort	12100000	11800000	727
stroke	hospital	12200000	13000000	32300
disability	death	12100000	13200000	81000
victim	emergency	11700000	12300000	5030
treatment	recovery	12500000	12300000	216000
journal	association	14300000	13200000	194000
doctor	personnel	12800000	12200000	2470
doctor	liability	12800000	11800000	3660
liability	insurance	11800000	12800000	5900000
school	center	17800000	16900000	718000
reason	hypertension	12300000	7430000	1950
reason	criterion	12300000	5380000	1650
hundred	percent	13500000	12100000	243000
Harvard	Yale	12100000	11800000	169000
hospital	infrastructure	13000000	12000000	32100
death	row	13200000	12300000	2310000
death	inmate	13200000	11400000	10200
lawyer	evidence	12100000	12100000	5120
life	death	17000000	13200000	617000
life	term	17000000	12700000	212000
word	similarity	14200000	5170000	19900
board	recommendation	15600000	11900000	46900
governor	interview	11900000	13100000	4290
OPEC	country	2940000	14800000	141000
peace	atmosphere	12400000	11800000	3800
peace	insurance	12400000	12700000	4100
territory	kilometer	11900000	5590000	15
travel	activity	15800000	13400000	140000
competition	price	12500000	17100000	706000
consumer	confidence	12400000	11800000	332000
consumer	energy	12400000	13300000	188000
problem	airport	12900000	12700000	17600
car	flight	17300000	12600000	127000
credit	card	12900000	14100000	14400000
credit	information	12900000	15300000	456000
hotel	reservation	17500000	12200000	4760000
grocery	money	12000000	13100000	48000
registration	arrangement	12800000	11700000	4420
arrangement	accommodation	11700000	12300000	4540
month	hotel	12700000	17500000	38500
type	kind	17400000	13500000	65700
arrival	hotel	11900000	17500000	34700
bed	closet	13800000	11900000	57400
closet	clothes	11900000	12600000	69200
situation	conclusion	12100000	11900000	9910
situation	isolation	12100000	10300000	1980
impartiality	interest	234000	12400000	4490
direction	combination	12400000	12000000	5000
street	place	15100000	15700000	166000
street	avenue	15100000	12700000	208000
street	block	15000000	13400000	133000
street	children	15100000	13300000	291000
listing	proximity	12800000	6990000	1470
listing	category	12800000	17000000	140000
cell	phone	12700000	15200000	12000000
production	hike	14100000	11600000	3410
benchmark	index	11700000	21400000	165000
media	trading	18300000	12900000	43300
media	gain	18300000	12100000	13200
dividend	payment	11700000	12400000	316000
dividend	calculation	11700000	12000000	12400
calculation	computation	12000000	8450000	13800
currency	market	12200000	6100000	254000
OPEC	oil	2940000	13200000	177000
oil	stock	13200000	14900000	482000
announcement	production	12100000	14200000	3890
announcement	warning	12100000	12300000	14800
profit	warning	12300000	12300000	114000
profit	loss	12300000	12400000	398000
dollar	yen	12400000	10700000	127000
dollar	buck	12400000	12000000	4540
dollar	profit	12200000	12300000	42900
dollar	loss	12400000	12400000	85500
computer	software	13600000	14200000	9510000
network	hardware	13600000	12400000	389000
phone	equipment	15200000	12900000	169000
equipment	maker	12900000	12700000	146000
luxury	car	12400000	17300000	3100000
five	month	16200000	12700000	220000
report	gain	15800000	12100000	82400
investor	earning	12300000	11700000	7410
liquid	water	12200000	13900000	320000
baseball	season	12500000	14000000	891000
game	victory	17600000	12100000	111000
game	team	17600000	16400000	324000
marathon	sprint	12200000	12000000	10200
game	series	17600000	13900000	1560000
game	defeat	17600000	9610000	32900
seven	series	15200000	13900000	209000
seafood	sea	12000000	13900000	29900
seafood	food	12000000	15500000	178000
seafood	lobster	12000000	11700000	96700
lobster	food	11700000	15500000	63200
lobster	wine	11700000	9910000	25700
food	preparation	15500000	12200000	1460000
video	archive	19800000	20900000	3830000
start	year	18400000	13900000	214000
start	match	18300000	15800000	53400
game	round	17600000	12700000	123000
boxing	round	12100000	12700000	51900
championship	tournament	12300000	12300000	687000
fighting	defeating	12400000	2820000	1600
line	insurance	18300000	12700000	383000
day	summer	16400000	13900000	1190000
summer	drought	13900000	9410000	66800
summer	nature	13900000	12900000	124000
